county_code,day_of_week,device_count,completely_home_device_count,part_time_work_behavior_devices,full_time_work_behavior_devices,delivery_behavior_devices,total_home_dwell_time,total_non_home_dwell_time
1067,3,1463,0.1566820276,0.2302209551,0.1191573404,0.0295532646,695.3785385,350.3533835
1067,4,1498,0.1481967213,0.2062750334,0.1154098361,0.05607476636,654.2447109,351.4319092
1067,5,1544,0.2078507079,0.09779792746,0.03254237288,0.03457627119,802.5561497,146.475547
1067,6,1502,0.25620389,0.09727164887,0.02590993214,0.02529302899,872.9006786,135.1091919
1069,0,9668,0.195207531,0.1877971474,0.09815768621,0.04340514976,703.8854986,270.1328249
1069,1,9650,0.1789623024,0.2036886907,0.1151195784,0.0407253886,682.9658273,314.6289015
1069,2,9585,0.158372457,0.2031298905,0.1061494192,0.03687519983,695.0668289,329.6197183
1069,3,9516,0.1524800336,0.2049501962,0.1077199282,0.04382093317,678.4076869,321.8001901
1069,4,9619,0.1505161154,0.1949267076,0.09069649212,0.06131164209,648.315114,317.4372596
1069,5,10113,0.2122021161,0.1045925926,0.03406095118,0.03538057743,775.7658969,147.9805201
1069,6,9827,0.24581244,0.0934114202,0.02889214251,0.02859931674,844.1378427,136.9114684
1071,0,3848,0.1881948121,0.141836986,0.07239596159,0.03176283748,668.9150208,230.2318008
1071,1,3880,0.2032745592,0.1675062972,0.09823677582,0.03299748111,637.8912371,281.4920635
1071,2,3963,0.1747037751,0.1696494239,0.09462528388,0.02264150943,652.453949,293.6530406
1071,3,3827,0.1870879121,0.1753331591,0.1054873465,0.02377841651,649.1358862,294.8646956
1071,4,3931,0.1728331177,0.1679172057,0.09427779178,0.03680362995,600.7511974,295.6909183
1071,5,4037,0.2314837448,0.08991825613,0.02972504335,0.0215106331,764.5201465,132.6620142
1071,6,3932,0.2656449553,0.09044862518,0.02749638205,0.02460202605,815.9807588,127.9344173
1073,0,51090,0.1876911192,0.1756482278,0.1306702776,0.0385443669,682.9149847,269.9049937
1073,1,50473,0.1878634544,0.1821237067,0.1374329733,0.03812023261,665.8185114,305.6432548
1073,2,51095,0.1598049223,0.1833056072,0.1314798026,0.03189281757,671.6355343,314.9093845
1073,3,50247,0.1628735947,0.1910362808,0.1304461784,0.03783310446,665.2663244,308.7554386
1073,4,51268,0.1582517106,0.1800337049,0.1185798001,0.04816346854,625.1008273,314.5348756
1073,5,53113,0.2298643709,0.09840515106,0.03608257704,0.02920115688,767.1298095,141.6624496
1073,6,52170,0.2436175408,0.1027525606,0.02927210872,0.02805319555,824.7791209,137.1836879
1075,0,1427,0.1400580552,0.1915820029,0.1178947368,0.03083391731,703.3705263,374.0899855
1075,1,1446,0.1486736582,0.2087517934,0.1270820481,0.02841677943,696.6791148,376.079627
1075,2,1418,0.1318758815,0.2115655853,0.103286385,0.02207977208,710.2910798,374.8517773
1075,3,1416,0.1297554348,0.206871345,0.1286549708,0.02966101695,699.1268844,389.3918129
1075,4,1443,0.1313559322,0.1916495551,0.1185031185,0.03080082136,674.6779661,366.4551677
1075,5,1480,0.1805458362,0.09391891892,0.02837370242,0.02094594595,836.9266436,197.6076125
1075,6,1489,0.2142343638,0.09636963696,0.03102310231,0.02376237624,922.6161035,163.9597045
1077,0,8523,0.1623202776,0.1823711568,0.1073565646,0.03439627374,730.0418049,281.1725335
1077,1,8579,0.1635610766,0.1931076179,0.1161720727,0.03577179664,713.9752885,326.5795951
1077,2,8538,0.1402519496,0.1977204559,0.1148981026,0.03182219977,723.7797702,324.6167721
1077,3,8374,0.1505777564,0.1994267972,0.1123500947,0.0378552663,720.2750179,323.4919124
1077,4,8484,0.1418338109,0.1895893028,0.1037714021,0.04419250347,679.2599093,326.6218765
1077,5,8791,0.2124051233,0.09830829291,0.02922039513,0.0228321306,844.0169171,158.3929596
1077,6,8686,0.2227338827,0.09232134931,0.02563249001,0.02463382157,888.6539021,150.9420907
1079,0,2613,0.1526980482,0.1783390739,0.1159942363,0.03274161736,716.4182277,297.1332853
1079,1,2602,0.1549718574,0.1778611632,0.1234521576,0.03535741737,695.7849906,322.4202627
1079,2,2592,0.1451284142,0.1989400734,0.1161265432,0.02437137331,693.8354851,335.6403541
1079,3,2590,0.148744113,0.1868008949,0.120059657,0.03359073359,680.5977237,331.6446682
1079,4,2638,0.1447267129,0.177328844,0.1085450346,0.04264870932,652.1227868,336.7351809
1079,5,2711,0.198313783,0.09572845156,0.02707856598,0.02352501867,812.1262395,155.1803859
1079,6,2709,0.238267148,0.100036914,0.0294223179,0.02511661285,880.9590255,150.6530085
1081,0,14059,0.1709225407,0.1929249471,0.1010740451,0.03347900156,732.9873343,320.9901842
1081,1,13739,0.1578334982,0.2039381153,0.1073805203,0.0323167625,723.4488917,325.8945127
